tif_name,tif_year,start_year,end_year,tif_number,property_tax_extraction,cumulative_property_tax_extraction,transfers_in,cumulative_transfers_in,expenses,fund_balance_end,transfers_out,distribution,admin_costs,finance_costs,bank
105th/Vincennes,2015,2001,2025,111,648627,2991400,353381,1613523,807700,310470,0,0,13249,0,
107th/Halsted,2015,2014,2038,176,0,0,0,0,0,0,0,0,0,0,
111th Street/Kedzie Avenue Business District,2015,1999,2022,73,481978,6766716,0,0,369488,3365118,0,26057,12807,0,
119th and Halsted,2015,2002,2026,114,526116,6922553,0,97500,765381,3682105,0,214822,12886,0,
119th/I-57,2015,2002,2026,125,3068497,18148407,0,950000,2204708,5350101,353381,68859,60686,0,
126th and Torrence,2015,1994,2017,10,814747,9041332,0,0,932742,802189,0,0,20014,0,
24th/Michigan,2015,1999,2022,72,1284525,11233434,16528924,121241677,22901623,9643201,0,0,31762,0,
26th and King Drive,2015,2006,2030,141,638732,4893186,0,0,624876,898708,0,0,16032,0,
35th and Wallace,2015,1999,2023,79,671276,6237188,0,0,254357,4703220,0,0,16322,0,
35th/Halsted,2015,1997,2021,1,4286017,49412264,1500000,3243618,1235022,27609821,0,0,105092,0,
35th/State,2015,2004,2028,131,1926674,11077615,1000000,3500000,3804360,1800947,0,61559,41091,0,
43rd/Cottage Grove,2015,1998,2022,55,2248087,27664481,0,0,4548411,12999075,0,0,56459,0,
47th/Ashland,2015,2002,2026,117,1919124,27050005,218318,2256221,4775943,11253528,1700000,0,46715,1722102,Amalgamated Bank
47th/Halsted,2015,2002,2026,121,2385013,29730588,0,3950064,1591470,15650421,218318,0,58474,0,
47th/King Drive,2015,2002,2026,118,5553630,71520302,0,0,7134292,32423699,0,0,142494,0,
47th/State,2015,2004,2028,136,1214023,14383466,0,0,38527,9885344,0,0,28912,0,
49th Street/St. Lawrence Avenue,2015,1996,2020,4,386340,5312025,0,0,1698800,1532971,0,0,0,0,
51st/Archer,2015,2000,2024,97,383874,7323032,2708167,23481065,4024172,6905091,0,0,11261,3459229,"Wells Fargo Bank, Amalgamated Bank"
51st/Lake Park,2015,2012,2036,175,0,0,0,0,0,0,0,0,0,0,
53rd Street,2015,2001,2025,105,3478507,11655058,0,0,1189869,4171106,0,0,82992,0,
60th and Western,2015,1996,2019,5,319691,5179118,0,0,10340,1723904,0,157076,0,0,
63rd/Ashland,2015,2006,2030,143,683971,5140516,1700000,4100000,682798,5298363,0,22491,16407,0,
63rd/Pulaski,2015,2000,2024,98,1433774,24413751,0,0,237985,4894695,1678014,0,35989,0,
67th/Cicero,2015,2002,2026,124,212951,2851673,0,3284023,25878,1616869,0,0,0,0,
67th/Wentworth,2015,2011,2035,174,0,0,0,0,0,0,0,0,0,0,
69th/Ashland,2015,2004,2028,138,627015,4574686,0,0,191484,1872326,0,0,15472,0,
71st and Stony Island,2015,1998,2021,60,2403826,37152390,4915021,41013947,8813036,14833168,0,0,60167,6824250,Wells Fargo Bank
73rd/University,2015,2006,2030,145,118716,3556882,0,0,535026,2224136,0,273700,0,0,
79th Street Corridor,2015,1998,2021,56,538330,9715310,0,0,591415,5317766,0,868616,13265,0,
79th Street/Southwest Highway,2015,2001,2025,112,1011710,14235758,0,0,36138,8247156,0,419444,25567,0,
79th/Cicero,2015,2005,2029,140,520367,3597278,0,0,523016,165843,0,0,13028,0,
79th/Vincennes,2015,2007,2031,155,25916,2500206,0,0,3276,2128731,0,0,0,0,
83rd/Stewart,2015,2004,2028,133,941786,4674445,0,0,769358,990156,0,0,23311,0,
87th/Cottage Grove,2015,2002,2026,127,1180344,21294680,0,0,590606,3798389,1687435,0,31994,0,
95th and Western,2015,1995,2019,9,694200,11694352,0,1200000,1779316,3466430,0,0,14661,0,
Addison Corridor North,2015,1997,2020,11,1359154,19816409,0,0,36519,3101467,0,411272,33814,0,
Addison South,2015,2007,2031,150,1859664,17268861,0,0,1492952,11185809,0,438855,45018,0,
Archer Courts,2015,1999,2023,67,377249,4161019,0,2235487,110581,1227856,0,1078959,0,0,
Archer/Central,2015,2000,2024,99,370348,8272289,0,240000,452618,2159514,0,158866,0,0,
Archer/Western,2015,2009,2033,163,-16546,1126818,0,0,13243,662515,0,0,0,0,
Armitage/Pulaski,2015,2007,2031,151,-6964,1580456,0,0,103104,988021,0,0,0,0,
Austin Commercial,2015,2007,2031,156,544718,7871233,0,0,71939,3818865,0,82548,12969,0,
Avalon Park/South Shore,2015,2002,2026,123,227181,6826184,0,0,139529,1950638,529330,0,0,0,
Avondale,2015,2009,2033,167,-8491,510720,0,1000000,161173,801754,0,0,0,0,
Belmont/Central,2015,2000,2024,81,2104462,33962579,0,0,348511,10962868,2049696,0,51593,0,
Belmont/Cicero,2015,2000,2024,82,779672,13914648,0,0,1040379,5060821,0,94315,19413,0,
Bronzeville,2015,1998,2022,61,2814891,45053902,0,2500000,742953,15973277,1000000,0,72190,0,
Bryn Mawr/Broadway,2015,1996,2019,13,1713335,21131933,0,4684947,293122,12555647,0,382158,40061,0,
Calumet Avenue/Cermak Road,2015,1998,2021,59,8878935,121271016,0,28000000,20915793,3469353,0,0,220336,0,
Calumet River,2015,2010,2034,168,0,0,0,0,0,0,0,0,0,0,
Canal/Congress,2015,1998,2022,63,23073689,217864404,0,1091731,6663567,80386129,0,2514189,477754,0,
Central West,2015,2000,2024,86,14218506,152445194,0,70617714,14056617,57247846,0,0,349304,763646,Wells Fargo Bank
Chicago Lakeside Development,2015,2010,2034,170,0,0,0,0,0,0,0,0,0,0,
Chicago/Central Park,2015,2002,2026,115,4601066,57886615,7641244,66035286,28816038,40009037,0,0,110349,11102738,"Wells Fargo Bank, Amalgamated Bank"
Chicago/Kingsbury,2015,2000,2024,94,23490058,164008417,0,0,3024534,84679405,0,474011,475151,0,
Cicero/Archer,2015,2000,2024,96,584443,9186333,0,0,29511,6953694,0,840737,13390,0,
Clark Street and Ridge Avenue,2015,1999,2022,74,1620205,22556714,0,0,1806955,6407946,0,842403,40136,0,
Clark/Montrose,2015,1999,2022,70,2468562,25113617,0,2000000,1230290,8848843,0,876635,57775,0,
Commercial Avenue,2015,2002,2026,128,888478,16207372,0,0,228616,8680308,0,2000357,20403,0,
Devon/Sheridan,2015,2004,2028,134,144408,4457171,0,3136000,10463,4635329,0,0,0,0,
Devon/Western,2015,1999,2023,76,1648983,30277385,0,1250000,2758403,1826548,1724652,0,41125,0,
Diversey/Narragansett,2015,2003,2027,129,1913763,21031719,0,0,2399105,2462935,0,75000,46670,0,
Division/Homan,2015,2001,2025,107,904706,12892459,0,0,658442,8037133,0,0,21400,0,
Drexel Boulevard,2015,2002,2026,122,250103,2924541,0,0,144833,268923,0,0,0,0,
Edgewater/Ashland,2015,2003,2027,130,223598,5118094,0,0,12013,2333574,0,0,0,0,
Elston/Armstrong Industrial Corridor,2015,2007,2031,153,225414,2477499,0,0,445540,873862,0,0,0,0,
Englewood Mall,2015,1989,2025,21,300578,8519862,0,7500000,150183,2142410,0,0,0,0,
Englewood Neighborhood,2015,2001,2025,106,3751638,48543598,0,0,2533132,14761964,0,0,96537,0,
Ewing Avenue,2015,2010,2034,169,198510,998424,0,4808056,1013325,1653173,0,0,0,0,
"Forty-first Street and Dr. Martin Luther King, Jr. Drive",2015,1994,2018,2,172110,2762033,0,0,68909,1122533,0,0,0,0,
Foster/California,2015,2014,2038,177,0,0,920000,920000,920000,0,0,0,0,0,
Fulterton/Milwaukee,2015,2000,2024,87,5657422,69085779,0,52044,7553954,14820128,0,0,144809,3215706,"Wells Fargo Bank, Amalgamated Bank"
